Topic,Stance,Argument
Climate change,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that climate change is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Climate change can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Legalisation of cannabis,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Abortion,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that abortion is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Abortion can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Freedom of speech,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that freedom of speech undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that freedom of speech undermines the value of human life."",
  ""conclusion"": ""Freedom of speech undermines the value of human life.""
}"
Tax increase,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that tax increase undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that tax increase undermines the value of human life."",
  ""conclusion"": ""Tax increase undermines the value of human life.""
}"
Animal/human cloning,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal/human cloning should not be accepted.""
}"
Research in artificial intelligence,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Nuclear energy,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that nuclear energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Nuclear energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Use of online social networks,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for use of online social networks should not be accepted.""
}"
Gun control,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gun control undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gun control undermines the value of human life."",
  ""conclusion"": ""Gun control undermines the value of human life.""
}"
